,model_id,n_pipes,gas_boiler,heat_pump,geothermal,gas_P,HP_P,geo_P,indiv_HP_P,pump_P
0,model_sea_ring,1,False,False,False,,,500.0,,4859.147644042969
1,model_gas_boiler_20,2,True,False,False,259370.453125,,,,79.64194416999817
2,model_gas_boiler_21,2,True,False,False,286854.6875,,,,80.82271218299866
3,model_gas_boiler_22,2,True,False,False,279608.46875,,,,78.68536114692688
4,model_gas_boiler_23,2,True,False,False,281476.40625,,,,103.46088409423828
5,model_gas_boiler_24,2,True,False,False,287173.40625,,,,80.36671280860901
6,model_gas_boiler_25,2,True,False,False,286741.15625,,,,80.87825179100037
7,model_gas_boiler_26,2,True,False,False,300699.84375,,,,111.85661554336548
8,model_gas_boiler_27,2,True,False,False,267782.3125,,,,76.86066031455994
9,model_gas_boiler_28,2,True,False,False,274220.03125,,,,79.78302836418152
10,model_gas_boiler_29,2,True,False,False,297748.78125,,,,115.2091383934021
11,model_gas_boiler_210,2,True,False,False,291178.3125,,,,79.88230586051941
12,model_gas_boiler_211,2,True,False,False,288914.84375,,,,86.85532212257385
13,model_gas_boiler_212,2,True,False,False,291551.78125,,,,90.38979411125183
14,model_gas_boiler_213,2,True,False,False,245988.125,,,,79.26945090293884
15,model_gas_boiler_214,2,True,False,False,299021.25,,,,96.00031971931458
16,model_gas_boiler_215,2,True,False,False,301873.84375,,,,94.20404434204102
17,model_heat_pump_20,2,False,True,False,,115574.5625,,,80.00006675720215
18,model_heat_pump_21,2,False,True,False,,115574.4453125,,,80.00001311302185
19,model_heat_pump_22,2,False,True,False,,115647.46875,,,80.55536150932312
20,model_heat_pump_23,2,False,True,False,,115582.21875,,,80.05979657173157
21,model_heat_pump_24,2,False,True,False,,115574.4375,,,80.00003695487976
22,model_heat_pump_25,2,False,True,False,,115796.7734375,,,81.69191479682922
23,model_heat_pump_26,2,False,True,False,,115760.0390625,,,81.41247630119324
24,model_heat_pump_27,2,False,True,False,,115574.3359375,,,79.99981045722961
25,model_heat_pump_28,2,False,True,False,,115574.3359375,,,79.99992966651917
26,model_heat_pump_29,2,False,True,False,,115611.7890625,,,80.2854061126709
27,model_heat_pump_210,2,False,True,False,,115574.5859375,,,80.00006079673767
28,model_heat_pump_211,2,False,True,False,,115733.5078125,,,81.21091723442078
29,model_heat_pump_212,2,False,True,False,,115615.28125,,,80.31070232391357
30,model_heat_pump_213,2,False,True,False,,115574.8671875,,,80.000239610672
31,model_heat_pump_214,2,False,True,False,,115582.5625,,,80.06157875061035
32,model_heat_pump_215,2,False,True,False,,115581.9921875,,,80.05795478820801
33,model_heat_pump_gas_boiler_20,2,True,True,False,31766.65625,,,,80.24158477783203
34,model_heat_pump_gas_boiler_21,2,True,True,False,32601.697265625,,,,79.73923683166504
35,model_heat_pump_gas_boiler_22,2,True,True,False,32247.291015625,,,,70.0747549533844
36,model_heat_pump_gas_boiler_23,2,True,True,False,32282.455078125,,,,82.23111033439636
37,model_heat_pump_gas_boiler_24,2,True,True,False,32482.552734375,,,,80.1532506942749
38,model_heat_pump_gas_boiler_25,2,True,True,False,32341.794921875,,,,73.68353009223938
39,model_heat_pump_gas_boiler_26,2,True,True,False,32383.857421875,,,,76.9481897354126
40,model_heat_pump_gas_boiler_27,2,True,True,False,31817.115234375,,,,78.46436500549316
41,model_heat_pump_gas_boiler_28,2,True,True,False,31724.115234375,,,,80.06730675697327
42,model_heat_pump_gas_boiler_29,2,True,True,False,32096.59375,,,,79.77883219718933
43,model_heat_pump_gas_boiler_210,2,True,True,False,32205.90625,,,,79.99701499938965
44,model_heat_pump_gas_boiler_211,2,True,True,False,32225.896484375,,,,71.79437279701233
45,model_heat_pump_gas_boiler_212,2,True,True,False,32209.845703125,,,,71.82955145835876
46,model_heat_pump_gas_boiler_213,2,True,True,False,31659.953125,,,,80.095773935318
47,model_heat_pump_gas_boiler_214,2,True,True,False,32403.841796875,,,,76.66175365447998
48,model_heat_pump_gas_boiler_215,2,True,True,False,32389.177734375,,,,74.98149275779724
49,model_geo_heat_pump_20,2,False,True,True,,21221.91796875,500.0,,80.00007271766663
50,model_geo_heat_pump_21,2,False,True,True,,21221.90234375,500.0,,80.00004291534424
51,model_geo_heat_pump_22,2,False,True,True,,21235.841796875,500.0,,80.5556058883667
52,model_geo_heat_pump_23,2,False,True,True,,21223.505859375,500.0,,80.05988001823425
53,model_geo_heat_pump_24,2,False,True,True,,21221.892578125,500.0,,80.00003695487976
54,model_geo_heat_pump_25,2,False,True,True,,21264.369140625,500.0,,81.69257640838623
55,model_geo_heat_pump_26,2,False,True,True,,21257.0,500.0,,81.39996528625488
56,model_geo_heat_pump_27,2,False,True,True,,21221.916015625,500.0,,80.00018000602722
57,model_geo_heat_pump_28,2,False,True,True,,21221.89453125,500.0,,79.99997735023499
58,model_geo_heat_pump_29,2,False,True,True,,21229.111328125,500.0,,80.28542399406433
59,model_geo_heat_pump_210,2,False,True,True,,21221.919921875,500.0,,80.00006079673767
60,model_geo_heat_pump_211,2,False,True,True,,21252.275390625,500.0,,81.21108412742615
61,model_geo_heat_pump_212,2,False,True,True,,21229.69140625,500.0,,80.3108274936676
62,model_geo_heat_pump_213,2,False,True,True,,21221.70703125,500.0,,79.99973893165588
63,model_geo_heat_pump_214,2,False,True,True,,21223.4375,500.0,,80.0616443157196
64,model_geo_heat_pump_215,2,False,True,True,,21223.349609375,500.0,,80.0580084323883
65,model_gas_boiler_geo_20,2,True,False,True,54727.73046875,,500.0,,79.99391555786133
66,model_gas_boiler_geo_21,2,True,False,True,56928.84765625,,500.0,,80.00293374061584
67,model_gas_boiler_geo_22,2,True,False,True,56024.41015625,,500.0,,69.22970414161682
68,model_gas_boiler_geo_23,2,True,False,True,60924.07421875,,500.0,,89.60037231445312
69,model_gas_boiler_geo_24,2,True,False,True,56382.91015625,,500.0,,80.03687262535095
70,model_gas_boiler_geo_25,2,True,False,True,57624.28125,,500.0,,72.65498042106628
71,model_gas_boiler_geo_26,2,True,False,True,60862.63671875,,500.0,,81.27664923667908
72,model_gas_boiler_geo_27,2,True,False,True,60433.28125,,500.0,,78.70240211486816
73,model_gas_boiler_geo_28,2,True,False,True,54499.046875,,500.0,,80.00863194465637
74,model_gas_boiler_geo_29,2,True,False,True,59937.55859375,,500.0,,89.91985321044922
75,model_gas_boiler_geo_210,2,True,False,True,55722.21875,,500.0,,80.22621273994446
76,model_gas_boiler_geo_211,2,True,False,True,56480.859375,,500.0,,71.3274896144867
77,model_gas_boiler_geo_212,2,True,False,True,56884.75390625,,500.0,,72.00621962547302
78,model_gas_boiler_geo_213,2,True,False,True,58029.78125,,500.0,,80.0119400024414
79,model_gas_boiler_geo_214,2,True,False,True,57072.453125,,500.0,,82.45871663093567
80,model_gas_boiler_geo_215,2,True,False,True,57141.51953125,,500.0,,79.32495474815369
